index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
1833,-0.8170000000000001,0.426,-0.35600000000000004,0.988,-1.5390000000000001,0.648,0.203,1.682,Idle,Idle
1834,-0.8190000000000001,0.428,-0.35700000000000004,0.991,-1.7530000000000001,1.2109999999999999,1.459,2.582,Idle,Idle
1835,-0.818,0.425,-0.35700000000000004,0.9890000000000001,-0.838,0.136,0.386,0.9329999999999999,Idle,Idle
1836,-0.821,0.426,-0.353,0.99,-1.124,0.215,-0.114,1.15,Idle,R
1837,-0.818,0.426,-0.35100000000000003,0.987,-1.115,0.249,-0.025,1.143,Idle,R
1838,-0.821,0.426,-0.358,0.992,-0.746,0.445,-0.235,0.9,Idle,R
1839,-0.8190000000000001,0.42700000000000005,-0.35,0.988,-0.359,1.2830000000000001,-0.373,1.3840000000000001,Idle,R
1840,-0.82,0.425,-0.355,0.9890000000000001,-0.56,0.937,-0.289,1.129,Idle,R
1841,-0.818,0.428,-0.35700000000000004,0.99,-0.6829999999999999,0.624,-0.128,0.934,Idle,R
1842,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.737,0.5529999999999999,-0.078,0.925,Idle,R
1843,-0.818,0.42700000000000005,-0.35700000000000004,0.9890000000000001,-0.893,0.39399999999999996,-0.155,0.988,Idle,R
1844,-0.82,0.42700000000000005,-0.353,0.99,-0.945,0.345,-0.29,1.047,Idle,R
1845,-0.8190000000000001,0.426,-0.354,0.9890000000000001,-1.099,0.33,-0.335,1.195,Idle,R
1846,-0.818,0.42700000000000005,-0.35700000000000004,0.9890000000000001,-0.768,0.435,-0.27399999999999997,0.924,Idle,R
1847,-0.8190000000000001,0.429,-0.36,0.992,-0.789,0.489,-0.268,0.966,Idle,R
1848,-0.8190000000000001,0.428,-0.359,0.991,-0.79,0.532,-0.373,1.023,Idle,R
1849,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.774,0.703,-0.305,1.089,Idle,R
1850,-0.818,0.426,-0.358,0.9890000000000001,-0.638,0.7490000000000001,-0.287,1.025,Idle,R
1851,-0.8190000000000001,0.42200000000000004,-0.35700000000000004,0.988,-0.655,0.708,-0.299,1.01,Idle,R
1852,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.691,0.62,-0.307,0.978,Idle,R
1853,-0.816,0.426,-0.35600000000000004,0.987,-0.768,0.5,-0.285,0.96,Idle,R
1854,-0.8190000000000001,0.42700000000000005,-0.353,0.9890000000000001,-0.718,0.495,-0.278,0.915,Idle,R
1855,-0.82,0.425,-0.35600000000000004,0.99,-0.75,0.517,-0.324,0.9670000000000001,Idle,R
1856,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.821,0.529,-0.401,1.056,Idle,R
1857,-0.818,0.426,-0.35700000000000004,0.9890000000000001,-0.83,0.52,-0.354,1.041,Idle,R
1858,-0.8190000000000001,0.425,-0.35600000000000004,0.9890000000000001,-0.6729999999999999,0.599,-0.369,0.9740000000000001,Idle,R
1859,-0.8190000000000001,0.426,-0.353,0.988,-0.7340000000000001,0.636,-0.396,1.0490000000000002,Idle,R
1860,-0.818,0.426,-0.35100000000000003,0.987,-0.768,0.644,-0.4,1.079,Idle,R
1861,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.765,0.614,-0.377,1.051,Idle,R
1862,-0.8190000000000001,0.426,-0.355,0.9890000000000001,-0.742,0.583,-0.337,1.002,Idle,R
1863,-0.82,0.42700000000000005,-0.355,0.99,-0.7070000000000001,0.511,-0.335,0.934,Idle,R
1864,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.754,0.495,-0.382,0.98,Idle,R
1865,-0.818,0.426,-0.353,0.988,-0.794,0.486,-0.39399999999999996,1.011,Idle,R
1866,-0.818,0.426,-0.355,0.988,-0.831,0.467,-0.40700000000000003,1.036,Idle,R
1867,-0.82,0.426,-0.355,0.99,-0.828,0.466,-0.391,1.0270000000000001,Idle,R
1868,-0.818,0.426,-0.355,0.988,-0.7390000000000001,0.513,-0.342,0.9620000000000001,Idle,R
1869,-0.8190000000000001,0.42700000000000005,-0.35100000000000003,0.988,-0.738,0.564,-0.413,1.0170000000000001,Idle,R
1870,-0.818,0.42700000000000005,-0.358,0.99,-0.735,0.537,-0.379,0.986,Idle,R
1871,-0.818,0.425,-0.35700000000000004,0.9890000000000001,-0.701,0.49700000000000005,-0.33799999999999997,0.9229999999999999,Idle,R
1872,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.754,0.5529999999999999,-0.447,1.036,Idle,R
1873,-0.818,0.428,-0.361,0.991,-0.736,0.516,-0.382,0.977,Idle,R
1874,-0.8190000000000001,0.425,-0.361,0.991,-0.75,0.52,-0.316,0.966,Idle,R
